text,vehicle,name
Delays and problems have plagued the Chevrolet Corvette Stingray C8 with seemingly no end.,Chevrolet Corvette Stingray C8,
"in some cases, people are asking millions for new Corvettes",Corvettes,
"If Chevy’s all-new mid-engined Corvette Stingray Coupe wasn’t already salivating enough, this latest retractable hardtop convertible version is the veritable icing on the mince pie.",Corvette Stingray Coupe,
"Of course, the regular C8 Corvette Coupe comes standard with a removable composite hardtop panel to deliver the same open-air feel as the Convertible.",C8 Corvette Coupe,
"And the beauty of the Corvette Convertible is that this top-levitating, mechanical ballet can be carried out while you’re happily zipping along at speeds up to 30mph",Corvette Convertible,
Mustang Shelby GT500 Is Quicker without Track Tires,Mustang Shelby GT500,
"So if you plan to drive a Shelby GT500 straight off the dealer lot and to your local drag strip, know that you're better off skipping the pricey Track Pack.",Shelby GT500,
"This 1967 Ford Mustang GT, 'Raven,' is an all-original survivor in the best spec",Ford Mustang GT,
"With the first-gen Honda City being an enthusiasts’ favourite and a benchmark in its segment, the fifth-gen sibling had great expectations to live up to",Honda City,
"The Hyundai Creta is solely responsible for the genesis of the mid-size SUV segment in India. After the arrival of SUVs like the Kia Seltos, MG Hector and the updated Renault Duster.","Hyundai Creta, Kia Seltos, MG Hector,  Renault Duster",
"For 2020, the Creta got a new, radical design language, a more SUV- like ride height, better interiors and many segment first features like a panoramic sunroof",Creta,
"However, with competition like the Tata Altroz taking the game to the next level, the all-new i20 couldn’t have come at a better time.","Tata Altroz,  i20",
"The Hyundai i20, like the new Creta, receives a radical design makeover and it now sports a large grille and the headlights integrated into it","Hyundai i20, Creta",
it was no different. The compact SUV segment has now become very competitive and the Kia Sonet is equipped to take on the challenge,Kia Sonet,
"The Kia Sonet, even with all the features and various engine options, was the most affordable compact SUV in India until the recent arrival of the Nissan Magnite","Kia Sonet, Nissan Magnite",
The all-new Mahindra Thar has been a huge hit since its launch earlier this year.,Mahindra Thar,
How does an SUV go up against giants like Toyota Fortuner and Ford Endeavour?,"Toyota Fortuner, Ford Endeavour",
The Gloster has a 12.3-inch infotainment screen and an 8-inch multi-information display in the cluster along with analogue dials for the speedo and tachometer.,Gloster,
the Magnite is better equipped than the Tata Nexon and Maruti Suzuki Vitara Brezza,"Magnite, Tata Nexon, Maruti Suzuki Vitara Brezza",
"Tata finally had a strong premium hatchback in the Altroz and could go up against Hyundai i20, Volkswagen Polo and so on.","Altroz, Hyundai i20, Volkswagen Polo",
The Nexon EV may not have a very impressive range like the Hyundai Kona,"Nexon EV, Hyundai Kona",
"I’ve driven 66 (by my count) of those new vehicles so far in 2020: such coupes as the Chevrolet Corvette, SUVs like the Genesis GV80 and Land Rover Defender, convertibles such as the Lamborghini Huracán RWD Spyder, wagons like the Audi RS6 Avant, and even some motorcycles and electric bicycles.","Chevrolet Corvette, Genesis GV80, Land Rover Defender, Lamborghini Huracán RWD Spyder, Audi RS6 Avant",
"Some, like the Volvo XC90 and Audi A6 Allroad achieved the right things: Thoughtful design, fair pricing, intuitive technology, and performance","Volvo XC90, Audi A6",
"However, the Nissan Quest and Mazda MPV were both discontinued in 2016.","Nissan Quest, Mazda MPV",
"Albert Einstein (14 March 1879 – 18 April 1955) was a German-born theoretical physicist who developed the theory of relativity, one of the two pillars of modern physics",,Albert Einstein
"He settled in the United States and became an American citizen in 1940.[14] On the eve of World War II, he endorsed a letter to President Franklin D. Roosevelt",,Franklin D. Roosevelt
"His parents were Hermann Einstein, a salesman and engineer, and Pauline Koch. In 1880, the family moved to Munich,",,"Hermann Einstein, Pauline Koch"
"Ford CEO Mark Fields announced that in a ""vote of confidence"" because of the pro-business climate being fostered in part by President-elect Donald Trump, Ford has canceled plans to invest $1.6 billion in a new plant in Mexico to manufacture the Ford Focus.",Ford Focus,"Mark Fields, Donald Trump"
"Elon Reeve Musk was born on June 28, 1971, in Pretoria, Transvaal, South Africa",,Elon Reeve Musk
"His childhood reading included Isaac Asimov's Foundation series,",,Isaac Asimov
"His mother is Maye Musk (née Haldeman), a model and dietitian born in Saskatchewan, Canada",,"Maye Musk, Haldeman"
This seemed to change after US actor Tom Hanks revealed in March that he and wife Rita Wilson tested positive for the virus while in Australia.,,"Tom Hanks, Rita Wilson"
Multi award-winning designer Gert-Johan Coetzee said the industry could learn a lot from the pandemic.,,Gert-Johan Coetzee
"The deaths of Chadwick Boseman, Kobe Brant and Naya Rivera also broke hearts across the globe. These are just a few of the celebrities we lost in the year 2020.",,"Chadwick Boseman, Kobe Brant, Naya Rivera"
"In a late June interview, singer August Alsina said he was previously in a relationship with Jada Pinkett Smith — while she was still married to Will Smith",,"August Alsina, Jada Pinkett Smith, Will Smith"
"The Duchess of Sussex has invested in Clevr Blends, an oat milk drink manufacturer in California co-founded by Hannah Mendoza and a man – perhaps a rather shy man?",,Hannah Mendoza
When Rita Wilson's Golden Globes hair and makeup artist showed up late and Chrissy Teigen hilariously needed to know who it was,,"Rita Wilson, Chrissy Teigen"
